"Date","Period","Temp"
36526,1,21.1
36526,2,20.85
36526,3,20.6
36526,4,20.1
36526,5,19.6
36526,6,19
36526,7,18.4
36526,8,18.85
36526,9,19.3
36526,10,19.45
36526,11,19.6
36526,12,20
36526,13,20.4
36526,14,21.4
36526,15,22.4
36526,16,22.8
36526,17,23.2
36526,18,23.6
36526,19,24
36526,20,24.55
36526,21,25.1
36526,22,24.95
36526,23,24.8
36526,24,25.2
36526,25,25.6
36526,26,25.85
36526,27,26.1
36526,28,25.85
36526,29,25.6
36526,30,25
36526,31,24.4
36526,32,24.15
36526,33,23.9
36526,34,23.65
36526,35,23.4
36526,36,22.75
36526,37,22.1
36526,38,21.9
36526,39,21.7
36526,40,21.7
36526,41,21.7
36526,42,21.25
36526,43,20.8
36526,44,20.35
36526,45,19.9
36526,46,19.65
36526,47,19.4
36526,48,19.35
36527,1,19.3
36527,2,19.05
36527,3,18.8
36527,4,18.45
36527,5,18.1
36527,6,17.55
36527,7,17
36527,8,16.75
36527,9,16.5
36527,10,16.55
36527,11,16.6
36527,12,17.7
36527,13,18.8
36527,14,20
36527,15,21.2
36527,16,22.45
36527,17,23.7
36527,18,23.95
36527,19,24.2
36527,20,24.5
36527,21,24.8
36527,22,25.2
36527,23,25.6
36527,24,25.6
36527,25,25.6
36527,26,25.8
36527,27,26
36527,28,25.8
36527,29,25.6
36527,30,25.3
36527,31,25
36527,32,24.25
36527,33,23.5
36527,34,23.15
36527,35,22.8
36527,36,22.5
36527,37,22.2
36527,38,22.05
36527,39,21.9
36527,40,21.95
36527,41,22
36527,42,21.7
36527,43,21.4
36527,44,21.25
36527,45,21.1
36527,46,20.8
36527,47,20.5
36527,48,20.1
36528,1,19.7
36528,2,19.5
36528,3,19.3
36528,4,19.3
36528,5,19.3
36528,6,19.15
36528,7,19
36528,8,18.85
36528,9,18.7
36528,10,18.3
36528,11,17.9
36528,12,19.05
36528,13,20.2
36528,14,21.25
36528,15,22.3
36528,16,22.9
36528,17,23.5
36528,18,24.1
36528,19,24.7
36528,20,24.8
36528,21,24.9
36528,22,25.35
36528,23,25.8
36528,24,25.55
36528,25,25.3
36528,26,24.55
36528,27,23.8
36528,28,24.5
36528,29,25.2
36528,30,25.3
36528,31,25.4
36528,32,25.3
36528,33,25.2
36528,34,24.7
36528,35,24.2
36528,36,23.45
36528,37,22.7
36528,38,22.2
36528,39,21.7
36528,40,21.35
36528,41,21
36528,42,20.7
36528,43,20.4
36528,44,20.2
36528,45,20
36528,46,20.05
36528,47,20.1
36528,48,19.05
36529,1,18
36529,2,18.1
36529,3,18.2
36529,4,18.15
36529,5,18.1
36529,6,17.9
36529,7,17.7
36529,8,17.35
36529,9,17
36529,10,17.25
36529,11,17.5
36529,12,18.6
36529,13,19.7
36529,14,20.9
36529,15,22.1
36529,16,22.7
36529,17,23.3
36529,18,24.2
36529,19,25.1
36529,20,25.55
36529,21,26
36529,22,26.75
36529,23,27.5
36529,24,27.3
36529,25,27.1
36529,26,27.2
36529,27,27.3
36529,28,27.3
36529,29,27.3
36529,30,27
36529,31,26.7
36529,32,26.5
36529,33,26.3
36529,34,25.55
36529,35,24.8
36529,36,24.1
36529,37,23.4
36529,38,23.3
36529,39,23.2
