"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","1995",95.68999,
"AUS","HHDEBT","TOT","PC_NDI","A","1996",99.53078,
"AUS","HHDEBT","TOT","PC_NDI","A","1997",107.5402,
"AUS","HHDEBT","TOT","PC_NDI","A","1998",114.6332,
"AUS","HHDEBT","TOT","PC_NDI","A","1999",121.0998,
"AUS","HHDEBT","TOT","PC_NDI","A","2000",126.4254,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",132.0105,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",149.0944,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",159.2495,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",169.5848,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",180.7881,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",185.8348,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",189.5087,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",184.4043,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",190.2457,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",188.4901,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",187.6383,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",188.6414,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",189.7901,
"AUS","HHDEBT","TOT","PC_NDI","A","2014",193.3834,
"AUS","HHDEBT","TOT","PC_NDI","A","2015",202.2312,
"AUS","HHDEBT","TOT","PC_NDI","A","2016",209.0575,
"AUS","HHDEBT","TOT","PC_NDI","A","2017",216.2654,
"AUT","HHDEBT","TOT","PC_NDI","A","1995",65.85123,
"AUT","HHDEBT","TOT","PC_NDI","A","1996",68.45939,
"AUT","HHDEBT","TOT","PC_NDI","A","1997",70.871,
"AUT","HHDEBT","TOT","PC_NDI","A","1998",70.46921,
"AUT","HHDEBT","TOT","PC_NDI","A","1999",73.53783,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.41841,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.01186,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",78.94254,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.08277,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.19659,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.18607,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.55872,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.36625,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",89.79839,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.11239,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",93.71614,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.2784,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",91.04684,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",90.82967,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",90.48386,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",92.21387,
"AUT","HHDEBT","TOT","PC_NDI","A","2016",92.51134,
"AUT","HHDEBT","TOT","PC_NDI","A","2017",92.17704,
"BEL","HHDEBT","TOT","PC_NDI","A","1995",65.21392,
"BEL","HHDEBT","TOT","PC_NDI","A","1996",68.69374,
"BEL","HHDEBT","TOT","PC_NDI","A","1997",71.73026,
"BEL","HHDEBT","TOT","PC_NDI","A","1998",71.19153,
"BEL","HHDEBT","TOT","PC_NDI","A","1999",73.28516,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",71.1817,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",67.1683,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",69.0197,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.9674,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",75.36653,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",80.84302,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",84.41811,
"BEL","HHDEBT","TOT","PC_NDI","A","2007",88.38851,
"BEL","HHDEBT","TOT","PC_NDI","A","2008",90.63052,
"BEL","HHDEBT","TOT","PC_NDI","A","2009",92.10538,
"BEL","HHDEBT","TOT","PC_NDI","A","2010",97.20621,
"BEL","HHDEBT","TOT","PC_NDI","A","2011",103.5563,
"BEL","HHDEBT","TOT","PC_NDI","A","2012",105.0358,
"BEL","HHDEBT","TOT","PC_NDI","A","2013",107.0645,
"BEL","HHDEBT","TOT","PC_NDI","A","2014",111.6236,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",115.0681,
"BEL","HHDEBT","TOT","PC_NDI","A","2016",115.9755,
"BEL","HHDEBT","TOT","PC_NDI","A","2017",117.3503,
"CZE","HHDEBT","TOT","PC_NDI","A","1995",28.78766,
"CZE","HHDEBT","TOT","PC_NDI","A","1996",21.66229,
"CZE","HHDEBT","TOT","PC_NDI","A","1997",20.64713,
"CZE","HHDEBT","TOT","PC_NDI","A","1998",19.39907,
"CZE","HHDEBT","TOT","PC_NDI","A","1999",20.55857,
"CZE","HHDEBT","TOT","PC_NDI","A","2000",21.75438,
"CZE","HHDEBT","TOT","PC_NDI","A","2001",22.30066,
"CZE","HHDEBT","TOT","PC_NDI","A","2002",27.12434,
"CZE","HHDEBT","TOT","PC_NDI","A","2003",29.37438,
"CZE","HHDEBT","TOT","PC_NDI","A","2004",34.20975,
"CZE","HHDEBT","TOT","PC_NDI","A","2005",39.51069,
"CZE","HHDEBT","TOT","PC_NDI","A","2006",43.66888,
"CZE","HHDEBT","TOT","PC_NDI","A","2007",53.19638,
"CZE","HHDEBT","TOT","PC_NDI","A","2008",59.06403,
"CZE","HHDEBT","TOT","PC_NDI","A","2009",60.59196,
"CZE","HHDEBT","TOT","PC_NDI","A","2010",62.02726,
"CZE","HHDEBT","TOT","PC_NDI","A","2011",64.64095,
"CZE","HHDEBT","TOT","PC_NDI","A","2012",65.81157,
"CZE","HHDEBT","TOT","PC_NDI","A","2013",68.30981,
"CZE","HHDEBT","TOT","PC_NDI","A","2014",66.66041,
"CZE","HHDEBT","TOT","PC_NDI","A","2015",67.1994,
"CZE","HHDEBT","TOT","PC_NDI","A","2016",68.78602,
"CZE","HHDEBT","TOT","PC_NDI","A","2017",65.71826,
"DNK","HHDEBT","TOT","PC_NDI","A","1995",192.7977,
"DNK","HHDEBT","TOT","PC_NDI","A","1996",200.1547,
"DNK","HHDEBT","TOT","PC_NDI","A","1997",213.491,
"DNK","HHDEBT","TOT","PC_NDI","A","1998",221.4437,
"DNK","HHDEBT","TOT","PC_NDI","A","1999",225.5847,
"DNK","HHDEBT","TOT","PC_NDI","A","2000",232.1425,
"DNK","HHDEBT","TOT","PC_NDI","A","2001",236.7646,
"DNK","HHDEBT","TOT","PC_NDI","A","2002",242.52,
"DNK","HHDEBT","TOT","PC_NDI","A","2003",247.9129,
"DNK","HHDEBT","TOT","PC_NDI","A","2004",261.5377,
"DNK","HHDEBT","TOT","PC_NDI","A","2005",281.7372,
"DNK","HHDEBT","TOT","PC_NDI","A","2006",299.3419,
"DNK","HHDEBT","TOT","PC_NDI","A","2007",324.6386,
"DNK","HHDEBT","TOT","PC_NDI","A","2008",339.7779,
"DNK","HHDEBT","TOT","PC_NDI","A","2009",339.7609,
"DNK","HHDEBT","TOT","PC_NDI","A","2010",326.155,
"DNK","HHDEBT","TOT","PC_NDI","A","2011",319.9125,
"DNK","HHDEBT","TOT","PC_NDI","A","2012",314.2155,
"DNK","HHDEBT","TOT","PC_NDI","A","2013",305.8037,
"DNK","HHDEBT","TOT","PC_NDI","A","2014",305.774,
"DNK","HHDEBT","TOT","PC_NDI","A","2015",291.9222,
"DNK","HHDEBT","TOT","PC_NDI","A","2016",285.3753,
"DNK","HHDEBT","TOT","PC_NDI","A","2017",281.181,
"FIN","HHDEBT","TOT","PC_NDI","A","1995",70.951,
"FIN","HHDEBT","TOT","PC_NDI","A","1996",65.99001,
"FIN","HHDEBT","TOT","PC_NDI","A","1997",62.9997,
"FIN","HHDEBT","TOT","PC_NDI","A","1998",64.65438,
"FIN","HHDEBT","TOT","PC_NDI","A","1999",66.03015,
"FIN","HHDEBT","TOT","PC_NDI","A","2000",69.21017,
"FIN","HHDEBT","TOT","PC_NDI","A","2001",70.75904,
"FIN","HHDEBT","TOT","PC_NDI","A","2002",75.57961,
"FIN","HHDEBT","TOT","PC_NDI","A","2003",79.9104,
"FIN","HHDEBT","TOT","PC_NDI","A","2004",88.56661,
"FIN","HHDEBT","TOT","PC_NDI","A","2005",99.17135,
"FIN","HHDEBT","TOT","PC_NDI","A","2006",109.3842,
"FIN","HHDEBT","TOT","PC_NDI","A","2007",114.6815,
"FIN","HHDEBT","TOT","PC_NDI","A","2008",117.1553,
"FIN","HHDEBT","TOT","PC_NDI","A","2009",117.5132,
"FIN","HHDEBT","TOT","PC_NDI","A","2010",119.6059,
"FIN","HHDEBT","TOT","PC_NDI","A","2011",122.6983,
"FIN","HHDEBT","TOT","PC_NDI","A","2012",124.5704,
"FIN","HHDEBT","TOT","PC_NDI","A","2013",124.7137,
"FIN","HHDEBT","TOT","PC_NDI","A","2014",125.8274,
"FIN","HHDEBT","TOT","PC_NDI","A","2015",129.5877,
"FIN","HHDEBT","TOT","PC_NDI","A","2016",135.242,
"FIN","HHDEBT","TOT","PC_NDI","A","2017",138.5943,
"FRA","HHDEBT","TOT","PC_NDI","A","1995",68.62362,
"FRA","HHDEBT","TOT","PC_NDI","A","1996",71.24432,
"FRA","HHDEBT","TOT","PC_NDI","A","1997",74.94624,
"FRA","HHDEBT","TOT","PC_NDI","A","1998",75.34831,
"FRA","HHDEBT","TOT","PC_NDI","A","1999",77.97491,
"FRA","HHDEBT","TOT","PC_NDI","A","2000",76.50027,
"FRA","HHDEBT","TOT","PC_NDI","A","2001",78.59366,
"FRA","HHDEBT","TOT","PC_NDI","A","2002",81.03705,
"FRA","HHDEBT","TOT","PC_NDI","A","2003",85.13761,
"FRA","HHDEBT","TOT","PC_NDI","A","2004",86.87691,
"FRA","HHDEBT","TOT","PC_NDI","A","2005",92.30909,
"FRA","HHDEBT","TOT","PC_NDI","A","2006",97.27901,
"FRA","HHDEBT","TOT","PC_NDI","A","2007",101.0742,
"FRA","HHDEBT","TOT","PC_NDI","A","2008",102.7999,
"FRA","HHDEBT","TOT","PC_NDI","A","2009",109.3833,
"FRA","HHDEBT","TOT","PC_NDI","A","2010",112.8123,
"FRA","HHDEBT","TOT","PC_NDI","A","2011",113.4588,
"FRA","HHDEBT","TOT","PC_NDI","A","2012",108.265,
"FRA","HHDEBT","TOT","PC_NDI","A","2013",110.3357,
"FRA","HHDEBT","TOT","PC_NDI","A","2014",111.1825,
"FRA","HHDEBT","TOT","PC_NDI","A","2015",115.3985,
"FRA","HHDEBT","TOT","PC_NDI","A","2016",117.6558,
"FRA","HHDEBT","TOT","PC_NDI","A","2017",119.7378,
"DEU","HHDEBT","TOT","PC_NDI","A","1995",97.20855,
"DEU","HHDEBT","TOT","PC_NDI","A","1996",101.8444,
"DEU","HHDEBT","TOT","PC_NDI","A","1997",105.3626,
"DEU","HHDEBT","TOT","PC_NDI","A","1998",109.8796,
"DEU","HHDEBT","TOT","PC_NDI","A","1999",114.7698,
"DEU","HHDEBT","TOT","PC_NDI","A","2000",116.5227,
"DEU","HHDEBT","TOT","PC_NDI","A","2001",112.9773,
"DEU","HHDEBT","TOT","PC_NDI","A","2002",113.5789,
"DEU","HHDEBT","TOT","PC_NDI","A","2003",111.9702,
"DEU","HHDEBT","TOT","PC_NDI","A","2004",110.3882,
"DEU","HHDEBT","TOT","PC_NDI","A","2005",108.0554,
"DEU","HHDEBT","TOT","PC_NDI","A","2006",105.722,
"DEU","HHDEBT","TOT","PC_NDI","A","2007",102.6491,
"DEU","HHDEBT","TOT","PC_NDI","A","2008",99.40073,
"DEU","HHDEBT","TOT","PC_NDI","A","2009",100.2922,
"DEU","HHDEBT","TOT","PC_NDI","A","2010",98.2541,
"DEU","HHDEBT","TOT","PC_NDI","A","2011",96.49005,
"DEU","HHDEBT","TOT","PC_NDI","A","2012",95.20216,
"DEU","HHDEBT","TOT","PC_NDI","A","2013",94.63222,
"DEU","HHDEBT","TOT","PC_NDI","A","2014",93.66457,
"DEU","HHDEBT","TOT","PC_NDI","A","2015",93.28162,
"DEU","HHDEBT","TOT","PC_NDI","A","2016",93.25484,
"DEU","HHDEBT","TOT","PC_NDI","A","2017",93.25179,
"GRC","HHDEBT","TOT","PC_NDI","A","1995",17.00222,
