"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHEXP","TOT","MLN_USD","A","1960",14526.0841,
"AUS","HHEXP","TOT","MLN_USD","A","1961",14964.5525,
"AUS","HHEXP","TOT","MLN_USD","A","1962",16296.7539,
"AUS","HHEXP","TOT","MLN_USD","A","1963",17437.5301,
"AUS","HHEXP","TOT","MLN_USD","A","1964",18637.78,
"AUS","HHEXP","TOT","MLN_USD","A","1965",19922.2238,
"AUS","HHEXP","TOT","MLN_USD","A","1966",21453.146,
"AUS","HHEXP","TOT","MLN_USD","A","1967",23289.0776,
"AUS","HHEXP","TOT","MLN_USD","A","1968",25626.4905,
"AUS","HHEXP","TOT","MLN_USD","A","1969",28224.0448,
"AUS","HHEXP","TOT","MLN_USD","A","1970",32012.825,
"AUS","HHEXP","TOT","MLN_USD","A","1971",34979.4877,
"AUS","HHEXP","TOT","MLN_USD","A","1972",37950.9634,
"AUS","HHEXP","TOT","MLN_USD","A","1973",42137.9357,
"AUS","HHEXP","TOT","MLN_USD","A","1974",48190.0341,
"AUS","HHEXP","TOT","MLN_USD","A","1975",53971.1397,
"AUS","HHEXP","TOT","MLN_USD","A","1976",59073.4051,
"AUS","HHEXP","TOT","MLN_USD","A","1977",63728.9872,
"AUS","HHEXP","TOT","MLN_USD","A","1978",69809.2745,
"AUS","HHEXP","TOT","MLN_USD","A","1979",77074.084,
"AUS","HHEXP","TOT","MLN_USD","A","1980",86734.6278,
"AUS","HHEXP","TOT","MLN_USD","A","1981",99865.3573,
"AUS","HHEXP","TOT","MLN_USD","A","1982",107350.8593,
"AUS","HHEXP","TOT","MLN_USD","A","1983",111519.122,
"AUS","HHEXP","TOT","MLN_USD","A","1984",116745.1643,
"AUS","HHEXP","TOT","MLN_USD","A","1985",129017.5602,
"AUS","HHEXP","TOT","MLN_USD","A","1986",135848.4983,
"AUS","HHEXP","TOT","MLN_USD","A","1987",144477.5911,
"AUS","HHEXP","TOT","MLN_USD","A","1988",153792.7096,
"AUS","HHEXP","TOT","MLN_USD","A","1989",165020.5839,
"AUS","HHEXP","TOT","MLN_USD","A","1990",173582.9668,
"AUS","HHEXP","TOT","MLN_USD","A","1991",184691.8167,
"AUS","HHEXP","TOT","MLN_USD","A","1992",194502.9815,
"AUS","HHEXP","TOT","MLN_USD","A","1993",204790.9362,
"AUS","HHEXP","TOT","MLN_USD","A","1994",220243.9558,
"AUS","HHEXP","TOT","MLN_USD","A","1995",232217.9618,
"AUS","HHEXP","TOT","MLN_USD","A","1996",242155.7652,
"AUS","HHEXP","TOT","MLN_USD","A","1997",258950.9396,
"AUS","HHEXP","TOT","MLN_USD","A","1998",277981.8804,
"AUS","HHEXP","TOT","MLN_USD","A","1999",296001.3879,
"AUS","HHEXP","TOT","MLN_USD","A","2000",315401.4358,
"AUS","HHEXP","TOT","MLN_USD","A","2001",329105.0885,
"AUS","HHEXP","TOT","MLN_USD","A","2002",350556.3462,
"AUS","HHEXP","TOT","MLN_USD","A","2003",368646.1287,
"AUS","HHEXP","TOT","MLN_USD","A","2004",389198.2009,
"AUS","HHEXP","TOT","MLN_USD","A","2005",407168.6849,
"AUS","HHEXP","TOT","MLN_USD","A","2006",439267.2516,
"AUS","HHEXP","TOT","MLN_USD","A","2007",467302.3105,
"AUS","HHEXP","TOT","MLN_USD","A","2008",466892.529,
"AUS","HHEXP","TOT","MLN_USD","A","2009",507114.5079,
"AUS","HHEXP","TOT","MLN_USD","A","2010",516094.936,
"AUS","HHEXP","TOT","MLN_USD","A","2011",541015.2319,
"AUS","HHEXP","TOT","MLN_USD","A","2012",554224.7853,
"AUS","HHEXP","TOT","MLN_USD","A","2013",618420.0903,
"AUS","HHEXP","TOT","MLN_USD","A","2014",639703.7717,
"AUS","HHEXP","TOT","MLN_USD","A","2015",656388.307,
"AUS","HHEXP","TOT","MLN_USD","A","2016",689909.2302,
"AUS","HHEXP","TOT","MLN_USD","A","2017",722972.0911,
"AUT","HHEXP","TOT","MLN_USD","A","1970",15349.4386,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1971",17012.878,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1972",18632.5759,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1973",20427.8359,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1974",23040.3056,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1975",26340.6973,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1976",29304.9657,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1977",33191.0117,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1978",34285.3717,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1979",38865.7036,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1980",43640.9309,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1981",48583.7752,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1982",52764.4436,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1983",57667.7631,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1984",58674.9101,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1985",61914.0083,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1986",63713.2848,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1987",66009.4523,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1988",69923.2722,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1989",75057.8809,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1990",81120.0027,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1991",85914.2279,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1992",90811.7039,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1993",93273.6047,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1994",96940.8433,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1995",100176.2983,
"AUT","HHEXP","TOT","MLN_USD","A","1996",105098.1469,
"AUT","HHEXP","TOT","MLN_USD","A","1997",107471.635,
"AUT","HHEXP","TOT","MLN_USD","A","1998",111903.514,
"AUT","HHEXP","TOT","MLN_USD","A","1999",114549.447,
"AUT","HHEXP","TOT","MLN_USD","A","2000",122759.1042,
"AUT","HHEXP","TOT","MLN_USD","A","2001",125173.7732,
"AUT","HHEXP","TOT","MLN_USD","A","2002",130389.127,
"AUT","HHEXP","TOT","MLN_USD","A","2003",136336.1706,
"AUT","HHEXP","TOT","MLN_USD","A","2004",143563.4304,
"AUT","HHEXP","TOT","MLN_USD","A","2005",149903.8941,
"AUT","HHEXP","TOT","MLN_USD","A","2006",160076.7664,
"AUT","HHEXP","TOT","MLN_USD","A","2007",164146.6024,
"AUT","HHEXP","TOT","MLN_USD","A","2008",171924.4594,
"AUT","HHEXP","TOT","MLN_USD","A","2009",175903.1835,
"AUT","HHEXP","TOT","MLN_USD","A","2010",181057.5234,
"AUT","HHEXP","TOT","MLN_USD","A","2011",191942.4901,
"AUT","HHEXP","TOT","MLN_USD","A","2012",201680.9001,
"AUT","HHEXP","TOT","MLN_USD","A","2013",209858.1664,
"AUT","HHEXP","TOT","MLN_USD","A","2014",213990.2364,
"AUT","HHEXP","TOT","MLN_USD","A","2015",217778.4079,
"AUT","HHEXP","TOT","MLN_USD","A","2016",226353.8431,
"AUT","HHEXP","TOT","MLN_USD","A","2017",236458.2785,
"BEL","HHEXP","TOT","MLN_USD","A","1970",19070.6197,"E"
