"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","1970",14.7271174598245,
"AUS","HHSAV","TOT","PC_HHDI","A","1971",14.8860174388066,
"AUS","HHSAV","TOT","PC_HHDI","A","1972",16.9796868776617,
"AUS","HHSAV","TOT","PC_HHDI","A","1973",18.7528321836766,
"AUS","HHSAV","TOT","PC_HHDI","A","1974",17.9710204670528,
"AUS","HHSAV","TOT","PC_HHDI","A","1975",16.5322508217628,
"AUS","HHSAV","TOT","PC_HHDI","A","1976",15.2445943635261,
"AUS","HHSAV","TOT","PC_HHDI","A","1977",14.3867858048877,
"AUS","HHSAV","TOT","PC_HHDI","A","1978",15.7856507745676,
"AUS","HHSAV","TOT","PC_HHDI","A","1979",15.0822854820868,
"AUS","HHSAV","TOT","PC_HHDI","A","1980",14.9995016445729,
"AUS","HHSAV","TOT","PC_HHDI","A","1981",14.2583715406767,
"AUS","HHSAV","TOT","PC_HHDI","A","1982",11.829406755606,
"AUS","HHSAV","TOT","PC_HHDI","A","1983",13.772220998088,
"AUS","HHSAV","TOT","PC_HHDI","A","1984",14.2972163193115,
"AUS","HHSAV","TOT","PC_HHDI","A","1985",11.5378121872098,
"AUS","HHSAV","TOT","PC_HHDI","A","1986",8.88912578761032,
"AUS","HHSAV","TOT","PC_HHDI","A","1987",7.81357586968809,
"AUS","HHSAV","TOT","PC_HHDI","A","1988",8.78859100143022,
"AUS","HHSAV","TOT","PC_HHDI","A","1989",8.84523799782337,
"AUS","HHSAV","TOT","PC_HHDI","A","1990",8.01721328014652,
"AUS","HHSAV","TOT","PC_HHDI","A","1991",6.20071211921403,
"AUS","HHSAV","TOT","PC_HHDI","A","1992",6.24198872157244,
"AUS","HHSAV","TOT","PC_HHDI","A","1993",6.01102072946733,
"AUS","HHSAV","TOT","PC_HHDI","A","1994",5.00777955817418,
"AUS","HHSAV","TOT","PC_HHDI","A","1995",5.23892162024906,
"AUS","HHSAV","TOT","PC_HHDI","A","1996",6.47166932723856,
"AUS","HHSAV","TOT","PC_HHDI","A","1997",3.73993586244541,
"AUS","HHSAV","TOT","PC_HHDI","A","1998",1.28759940622804,
"AUS","HHSAV","TOT","PC_HHDI","A","1999",0.63774222686955,
"AUS","HHSAV","TOT","PC_HHDI","A","2000",1.99040113764295,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",3.23739972337483,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",-1.15182002677145,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",-0.413463064568948,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",0.656837162702715,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",-0.274769133616913,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",0.128644036765623,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",1.89608322287069,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",8.26759049796296,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",6.14357870842332,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",7.43170377801265,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",8.0568011453803,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",6.83523358589993,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",7.263830686778,
"AUS","HHSAV","TOT","PC_HHDI","A","2014",7.47063274001513,
"AUS","HHSAV","TOT","PC_HHDI","A","2015",5.6417844109666,
"AUS","HHSAV","TOT","PC_HHDI","A","2016",4.61926118596578,
"AUT","HHSAV","TOT","PC_HHDI","A","1995",14.650994839099,
"AUT","HHSAV","TOT","PC_HHDI","A","1996",11.9397096028179,
"AUT","HHSAV","TOT","PC_HHDI","A","1997",10.4232014998011,
"AUT","HHSAV","TOT","PC_HHDI","A","1998",10.3455205595328,
"AUT","HHSAV","TOT","PC_HHDI","A","1999",11.8836299861695,
"AUT","HHSAV","TOT","PC_HHDI","A","2000",10.6323620101249,
"AUT","HHSAV","TOT","PC_HHDI","A","2001",9.02211155348111,
"AUT","HHSAV","TOT","PC_HHDI","A","2002",9.40017464120189,
"AUT","HHSAV","TOT","PC_HHDI","A","2003",9.64812925464156,
"AUT","HHSAV","TOT","PC_HHDI","A","2004",9.52426830502389,
"AUT","HHSAV","TOT","PC_HHDI","A","2005",11.13639539683,
"AUT","HHSAV","TOT","PC_HHDI","A","2006",11.6196364290299,
"AUT","HHSAV","TOT","PC_HHDI","A","2007",12.4123757309681,
"AUT","HHSAV","TOT","PC_HHDI","A","2008",12.3545290786405,
"AUT","HHSAV","TOT","PC_HHDI","A","2009",11.3985751349722,
"AUT","HHSAV","TOT","PC_HHDI","A","2010",9.59183079078251,
"AUT","HHSAV","TOT","PC_HHDI","A","2011",7.88123256906157,
"AUT","HHSAV","TOT","PC_HHDI","A","2012",8.86254800930253,
"AUT","HHSAV","TOT","PC_HHDI","A","2013",7.1132177811741,
"AUT","HHSAV","TOT","PC_HHDI","A","2014",7.29640193215769,
"AUT","HHSAV","TOT","PC_HHDI","A","2015",6.75513658134317,
"AUT","HHSAV","TOT","PC_HHDI","A","2016",7.78638214368945,
"AUT","HHSAV","TOT","PC_HHDI","A","2017",6.82941812260765,
"BEL","HHSAV","TOT","PC_HHDI","A","1995",14.625753530279,
"BEL","HHSAV","TOT","PC_HHDI","A","1996",12.5873512536151,
"BEL","HHSAV","TOT","PC_HHDI","A","1997",11.7344602845654,
"BEL","HHSAV","TOT","PC_HHDI","A","1998",11.0719209836154,
"BEL","HHSAV","TOT","PC_HHDI","A","1999",11.3416940001481,
"BEL","HHSAV","TOT","PC_HHDI","A","2000",10.4237376818719,
"BEL","HHSAV","TOT","PC_HHDI","A","2001",11.9096132750714,
"BEL","HHSAV","TOT","PC_HHDI","A","2002",11.0160123233074,
"BEL","HHSAV","TOT","PC_HHDI","A","2003",10.5573342477972,
"BEL","HHSAV","TOT","PC_HHDI","A","2004",8.87863804361476,
"BEL","HHSAV","TOT","PC_HHDI","A","2005",8.52292276494701,
"BEL","HHSAV","TOT","PC_HHDI","A","2006",9.16186497475291,
"BEL","HHSAV","TOT","PC_HHDI","A","2007",9.42917664983609,
"BEL","HHSAV","TOT","PC_HHDI","A","2008",10.0062958576829,
"BEL","HHSAV","TOT","PC_HHDI","A","2009",11.3141064470871,
"BEL","HHSAV","TOT","PC_HHDI","A","2010",8.1066351721091,
"BEL","HHSAV","TOT","PC_HHDI","A","2011",6.53882894443311,
"BEL","HHSAV","TOT","PC_HHDI","A","2012",5.68663346029886,
"BEL","HHSAV","TOT","PC_HHDI","A","2013",5.14193103435473,
"BEL","HHSAV","TOT","PC_HHDI","A","2014",4.92687849477782,
"BEL","HHSAV","TOT","PC_HHDI","A","2015",4.36588343093973,
