"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","HHWEALTH","TOT","PC_NDI","A","1995",259.9691,
"HUN","HHWEALTH","TOT","PC_NDI","A","1996",285.8228,
"HUN","HHWEALTH","TOT","PC_NDI","A","1997",301.2466,
"HUN","HHWEALTH","TOT","PC_NDI","A","1998",299.7071,
"HUN","HHWEALTH","TOT","PC_NDI","A","1999",319.5109,
"HUN","HHWEALTH","TOT","PC_NDI","A","2000",324.2527,
"HUN","HHWEALTH","TOT","PC_NDI","A","2001",314.7693,
"HUN","HHWEALTH","TOT","PC_NDI","A","2002",306.2408,
"HUN","HHWEALTH","TOT","PC_NDI","A","2003",292.9281,
"HUN","HHWEALTH","TOT","PC_NDI","A","2004",285.0907,
"HUN","HHWEALTH","TOT","PC_NDI","A","2005",286.6318,
"HUN","HHWEALTH","TOT","PC_NDI","A","2006",300.3217,
"HUN","HHWEALTH","TOT","PC_NDI","A","2007",312.673,
"HUN","HHWEALTH","TOT","PC_NDI","A","2008",308.0045,
"HUN","HHWEALTH","TOT","PC_NDI","A","2009",331.3186,
"HUN","HHWEALTH","TOT","PC_NDI","A","2010",335.9653,
"HUN","HHWEALTH","TOT","PC_NDI","A","2011",324.2049,
"HUN","HHWEALTH","TOT","PC_NDI","A","2012",337.1109,
"HUN","HHWEALTH","TOT","PC_NDI","A","2013",341.5943,
"HUN","HHWEALTH","TOT","PC_NDI","A","2014",349.4984,
"HUN","HHWEALTH","TOT","PC_NDI","A","2015",371.5086,
"SVK","HHWEALTH","TOT","PC_NDI","A","1995",353.5319,
"SVK","HHWEALTH","TOT","PC_NDI","A","1996",328.1953,
"SVK","HHWEALTH","TOT","PC_NDI","A","1997",315.0178,
"SVK","HHWEALTH","TOT","PC_NDI","A","1998",312.0136,
"SVK","HHWEALTH","TOT","PC_NDI","A","1999",317.592,
"SVK","HHWEALTH","TOT","PC_NDI","A","2000",312.6452,
"SVK","HHWEALTH","TOT","PC_NDI","A","2001",303.1492,
"SVK","HHWEALTH","TOT","PC_NDI","A","2002",284.5428,
"SVK","HHWEALTH","TOT","PC_NDI","A","2003",274.189,
"SVK","HHWEALTH","TOT","PC_NDI","A","2004",256.5201,
"SVK","HHWEALTH","TOT","PC_NDI","A","2005",247.3103,
"SVK","HHWEALTH","TOT","PC_NDI","A","2006",244.5684,
"SVK","HHWEALTH","TOT","PC_NDI","A","2007",229.2161,
"SVK","HHWEALTH","TOT","PC_NDI","A","2008",222.8591,
"SVK","HHWEALTH","TOT","PC_NDI","A","2009",227.8442,
"SVK","HHWEALTH","TOT","PC_NDI","A","2010",229.6472,
"SVK","HHWEALTH","TOT","PC_NDI","A","2011",229.0874,
"SVK","HHWEALTH","TOT","PC_NDI","A","2012",224.6288,
"SVK","HHWEALTH","TOT","PC_NDI","A","2013",225.2997,
"SVK","HHWEALTH","TOT","PC_NDI","A","2014",230.0604,
"SVK","HHWEALTH","TOT","PC_NDI","A","2015",224.0251,
"SVK","HHWEALTH","TOT","PC_NDI","A","2016",226.1571,
"EST","HHWEALTH","TOT","PC_NDI","A","1995",344.5692,
"EST","HHWEALTH","TOT","PC_NDI","A","1996",431.0622,
"EST","HHWEALTH","TOT","PC_NDI","A","1997",448.6099,
"EST","HHWEALTH","TOT","PC_NDI","A","1998",388.0335,
"EST","HHWEALTH","TOT","PC_NDI","A","1999",415.6524,
"EST","HHWEALTH","TOT","PC_NDI","A","2000",355.3303,
"EST","HHWEALTH","TOT","PC_NDI","A","2001",383.2147,
"EST","HHWEALTH","TOT","PC_NDI","A","2002",364.1642,
"EST","HHWEALTH","TOT","PC_NDI","A","2003",354.5078,
"EST","HHWEALTH","TOT","PC_NDI","A","2004",369.1376,
"EST","HHWEALTH","TOT","PC_NDI","A","2005",350.0413,
"EST","HHWEALTH","TOT","PC_NDI","A","2006",344.1295,
"EST","HHWEALTH","TOT","PC_NDI","A","2007",323.4563,
"EST","HHWEALTH","TOT","PC_NDI","A","2008",277.6,
"EST","HHWEALTH","TOT","PC_NDI","A","2009",304.4282,
"EST","HHWEALTH","TOT","PC_NDI","A","2010",284.8172,
"EST","HHWEALTH","TOT","PC_NDI","A","2011",281.5164,
"EST","HHWEALTH","TOT","PC_NDI","A","2012",288.3855,
"EST","HHWEALTH","TOT","PC_NDI","A","2013",303.9965,
"EST","HHWEALTH","TOT","PC_NDI","A","2014",312.9544,
"EST","HHWEALTH","TOT","PC_NDI","A","2015",305.4049,
"CZE","HHWEALTH","TOT","PC_NDI","A","1995",313.8743,
"CZE","HHWEALTH","TOT","PC_NDI","A","1996",307.2972,
"CZE","HHWEALTH","TOT","PC_NDI","A","1997",312.1576,
"CZE","HHWEALTH","TOT","PC_NDI","A","1998",324.1566,
"CZE","HHWEALTH","TOT","PC_NDI","A","1999",324.8066,
"CZE","HHWEALTH","TOT","PC_NDI","A","2000",319.339,
"CZE","HHWEALTH","TOT","PC_NDI","A","2001",317.0439,
"CZE","HHWEALTH","TOT","PC_NDI","A","2002",315.1678,
"CZE","HHWEALTH","TOT","PC_NDI","A","2003",316.3952,
"CZE","HHWEALTH","TOT","PC_NDI","A","2004",305.9001,
"CZE","HHWEALTH","TOT","PC_NDI","A","2005",301.015,
"CZE","HHWEALTH","TOT","PC_NDI","A","2006",295.0854,
"CZE","HHWEALTH","TOT","PC_NDI","A","2007",312.8416,
"CZE","HHWEALTH","TOT","PC_NDI","A","2008",314.3274,
"CZE","HHWEALTH","TOT","PC_NDI","A","2009",304.1999,
"CZE","HHWEALTH","TOT","PC_NDI","A","2010",312.2629,
"CZE","HHWEALTH","TOT","PC_NDI","A","2011",319.2411,
"CZE","HHWEALTH","TOT","PC_NDI","A","2012",328.9276,
"CZE","HHWEALTH","TOT","PC_NDI","A","2013",335.6924,
"CZE","HHWEALTH","TOT","PC_NDI","A","2014",340.5129,
"CZE","HHWEALTH","TOT","PC_NDI","A","2015",345.3838,
"CZE","HHWEALTH","TOT","PC_NDI","A","2016",347.8891,
"CZE","HHWEALTH","TOT","PC_NDI","A","2017",349.2652,
"AUS","HHWEALTH","TOT","PC_NDI","A","1995",314.9344,
"AUS","HHWEALTH","TOT","PC_NDI","A","1996",314.5559,
"AUS","HHWEALTH","TOT","PC_NDI","A","1997",323.2357,
"AUS","HHWEALTH","TOT","PC_NDI","A","1998",339.3139,
"AUS","HHWEALTH","TOT","PC_NDI","A","1999",354.4382,
"AUS","HHWEALTH","TOT","PC_NDI","A","2000",350.2795,
"AUS","HHWEALTH","TOT","PC_NDI","A","2001",347.8053,
"AUS","HHWEALTH","TOT","PC_NDI","A","2002",348.7379,
"AUS","HHWEALTH","TOT","PC_NDI","A","2003",359.9007,
"AUS","HHWEALTH","TOT","PC_NDI","A","2004",378.5653,
"AUS","HHWEALTH","TOT","PC_NDI","A","2005",400.5792,
"AUS","HHWEALTH","TOT","PC_NDI","A","2006",406.6696,
"AUS","HHWEALTH","TOT","PC_NDI","A","2007",401.2133,
"AUS","HHWEALTH","TOT","PC_NDI","A","2008",327.7547,
"AUS","HHWEALTH","TOT","PC_NDI","A","2009",355.9142,
"AUS","HHWEALTH","TOT","PC_NDI","A","2010",342.182,
"AUS","HHWEALTH","TOT","PC_NDI","A","2011",317.8002,
"AUS","HHWEALTH","TOT","PC_NDI","A","2012",353.0001,
"AUS","HHWEALTH","TOT","PC_NDI","A","2013",360.7665,
"AUS","HHWEALTH","TOT","PC_NDI","A","2014",375.2101,
"AUS","HHWEALTH","TOT","PC_NDI","A","2015",392.8804,
"AUS","HHWEALTH","TOT","PC_NDI","A","2016",421.9729,
"SVN","HHWEALTH","TOT","PC_NDI","A","1995",315.0623,
"SVN","HHWEALTH","TOT","PC_NDI","A","1996",312.222,
"SVN","HHWEALTH","TOT","PC_NDI","A","1997",300.7149,
"SVN","HHWEALTH","TOT","PC_NDI","A","1998",304.8813,
"SVN","HHWEALTH","TOT","PC_NDI","A","1999",295.0149,
"SVN","HHWEALTH","TOT","PC_NDI","A","2000",283.5944,
"SVN","HHWEALTH","TOT","PC_NDI","A","2001",291.5628,
"SVN","HHWEALTH","TOT","PC_NDI","A","2002",292.9473,
"SVN","HHWEALTH","TOT","PC_NDI","A","2003",299.2547,
"SVN","HHWEALTH","TOT","PC_NDI","A","2004",312.098,
"SVN","HHWEALTH","TOT","PC_NDI","A","2005",308.4612,
"SVN","HHWEALTH","TOT","PC_NDI","A","2006",313.4829,
"SVN","HHWEALTH","TOT","PC_NDI","A","2007",305.996,
"SVN","HHWEALTH","TOT","PC_NDI","A","2008",276.4659,
"SVN","HHWEALTH","TOT","PC_NDI","A","2009",286.8053,
"SVN","HHWEALTH","TOT","PC_NDI","A","2010",290.9729,
"SVN","HHWEALTH","TOT","PC_NDI","A","2011",284.4677,
"SVN","HHWEALTH","TOT","PC_NDI","A","2012",296.317,
"SVN","HHWEALTH","TOT","PC_NDI","A","2013",299.5869,
"SVN","HHWEALTH","TOT","PC_NDI","A","2014",302.986,
"SVN","HHWEALTH","TOT","PC_NDI","A","2015",302.356,
"SVN","HHWEALTH","TOT","PC_NDI","A","2016",296.2885,
"USA","HHWEALTH","TOT","PC_NDI","A","1995",472.3219,
"USA","HHWEALTH","TOT","PC_NDI","A","1996",484.8396,
"USA","HHWEALTH","TOT","PC_NDI","A","1997",510.1932,
"USA","HHWEALTH","TOT","PC_NDI","A","1998",527.0515,
"USA","HHWEALTH","TOT","PC_NDI","A","1999",562.7451,
"USA","HHWEALTH","TOT","PC_NDI","A","2000",520.5486,
"USA","HHWEALTH","TOT","PC_NDI","A","2001",498.9384,
"USA","HHWEALTH","TOT","PC_NDI","A","2002",461.2379,
"USA","HHWEALTH","TOT","PC_NDI","A","2003",492.1533,
"USA","HHWEALTH","TOT","PC_NDI","A","2004",525.1831,
"USA","HHWEALTH","TOT","PC_NDI","A","2005",550.452,
"USA","HHWEALTH","TOT","PC_NDI","A","2006",563.4562,
"USA","HHWEALTH","TOT","PC_NDI","A","2007",560.5231,
"USA","HHWEALTH","TOT","PC_NDI","A","2008",479.23,
"USA","HHWEALTH","TOT","PC_NDI","A","2009",499.8712,
"USA","HHWEALTH","TOT","PC_NDI","A","2010",520.1271,
"USA","HHWEALTH","TOT","PC_NDI","A","2011",502.9803,
"USA","HHWEALTH","TOT","PC_NDI","A","2012",514.4276,
"USA","HHWEALTH","TOT","PC_NDI","A","2013",592.3568,
"USA","HHWEALTH","TOT","PC_NDI","A","2014",596.4713,
"USA","HHWEALTH","TOT","PC_NDI","A","2015",588.1454,
"USA","HHWEALTH","TOT","PC_NDI","A","2016",609.2657,
"NLD","HHWEALTH","TOT","PC_NDI","A","1995",512.3799,
"NLD","HHWEALTH","TOT","PC_NDI","A","1996",516.8542,
"NLD","HHWEALTH","TOT","PC_NDI","A","1997",513.1001,
"NLD","HHWEALTH","TOT","PC_NDI","A","1998",508.5493,
"NLD","HHWEALTH","TOT","PC_NDI","A","1999",523.6943,
"NLD","HHWEALTH","TOT","PC_NDI","A","2000",524.7238,
"NLD","HHWEALTH","TOT","PC_NDI","A","2001",491.2486,
"NLD","HHWEALTH","TOT","PC_NDI","A","2002",493.4073,
"NLD","HHWEALTH","TOT","PC_NDI","A","2003",513.4016,
"NLD","HHWEALTH","TOT","PC_NDI","A","2004",514.9849,
