"Date","Period","Temp"
36526,1,13.1
36526,2,13.25
36526,3,13.4
36526,4,13.2
36526,5,13
36526,6,12.65
36526,7,12.3
36526,8,12
36526,9,11.7
36526,10,11.75
36526,11,11.8
36526,12,11.95
36526,13,12.1
36526,14,13.05
36526,15,14
36526,16,14.55
36526,17,15.1
36526,18,14.95
36526,19,14.8
36526,20,15.4
36526,21,16
36526,22,16.5
36526,23,17
36526,24,17.55
36526,25,18.1
36526,26,17.8
36526,27,17.5
36526,28,18.1
36526,29,18.7
36526,30,18.8
36526,31,18.9
36526,32,18.85
36526,33,18.8
36526,34,18.6
36526,35,18.4
36526,36,17.9
36526,37,17.4
36526,38,16.75
36526,39,16.1
36526,40,15.45
36526,41,14.8
36526,42,14.45
36526,43,14.1
36526,44,14.2
36526,45,14.3
36526,46,14.3
36526,47,14.3
36526,48,14.3
36527,1,14.3
36527,2,14.2
36527,3,14.1
36527,4,14.15
36527,5,14.2
36527,6,13.95
36527,7,13.7
36527,8,13.35
36527,9,13
36527,10,12.9
36527,11,12.8
36527,12,13.2
36527,13,13.6
36527,14,14.8
36527,15,16
36527,16,17.2
36527,17,18.4
36527,18,19.7
36527,19,21
36527,20,21.8
36527,21,22.6
36527,22,23.35
36527,23,24.1
36527,24,24.5
36527,25,24.9
36527,26,25.05
36527,27,25.2
36527,28,25.9
36527,29,26.6
36527,30,26.45
36527,31,26.3
36527,32,26.35
36527,33,26.4
36527,34,26.55
36527,35,26.7
36527,36,25.85
36527,37,25
36527,38,24.3
36527,39,23.6
36527,40,22.4
36527,41,21.2
36527,42,20.85
36527,43,20.5
36527,44,20.1
36527,45,19.7
36527,46,19.1
36527,47,18.5
36527,48,17.95
36528,1,17.4
36528,2,17.25
36528,3,17.1
36528,4,17.1
36528,5,17.1
36528,6,16.5
36528,7,15.9
36528,8,15.65
36528,9,15.4
36528,10,15.15
36528,11,14.9
36528,12,14.85
36528,13,14.8
36528,14,16.75
36528,15,18.7
36528,16,19.9
36528,17,21.1
36528,18,21.9
36528,19,22.7
36528,20,23.7
36528,21,24.7
36528,22,25.25
36528,23,25.8
36528,24,25.6
36528,25,25.4
36528,26,24.6
36528,27,23.8
